,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
9889,20170911,송파구,0.021,0.027000000000000003,0.4,0.004,19.0,13.0
9928,20170912,송파구,0.023,0.023,0.4,0.004,25.0,11.0
9967,20170913,송파구,0.032,0.02,0.4,0.004,26.0,8.0
10006,20170914,송파구,0.027000000000000003,0.024,0.4,0.004,27.0,13.0
10045,20170915,송파구,0.013999999999999999,0.03,0.3,0.003,16.0,8.0
10084,20170916,송파구,0.013000000000000001,0.025,0.2,0.004,10.0,5.0
10123,20170917,송파구,0.01,0.027999999999999997,0.2,0.004,8.0,4.0
10162,20170918,송파구,0.023,0.023,0.3,0.004,20.0,10.0
10201,20170919,송파구,0.027000000000000003,0.04,0.6,0.005,59.0,39.0
10240,20170920,송파구,0.019,0.027000000000000003,0.3,0.004,21.0,9.0
10279,20170921,송파구,0.033,0.026000000000000002,0.4,0.004,26.0,14.0
10318,20170922,송파구,0.031,0.033,0.4,0.004,28.0,18.0
10357,20170923,송파구,0.031,0.03,0.5,0.004,53.0,25.0
10396,20170924,송파구,0.022000000000000002,0.035,0.6,0.004,57.0,35.0
10435,20170925,송파구,0.031,0.025,0.8,0.005,44.0,24.0
10474,20170926,송파구,0.033,0.026000000000000002,0.6,0.004,43.0,23.0
10513,20170927,송파구,0.033,0.018000000000000002,0.5,0.004,34.0,18.0
10552,20170928,송파구,0.016,0.03,0.3,0.004,22.0,7.0
10591,20170929,송파구,0.024,0.025,0.4,0.005,23.0,8.0
10630,20170930,송파구,0.028999999999999998,0.027000000000000003,0.5,0.005,33.0,16.0
10669,20171001,송파구,0.025,0.013000000000000001,0.6,0.004,29.0,17.0
10708,20171002,송파구,0.015,0.028999999999999998,0.4,0.004,15.0,9.0
10747,20171003,송파구,0.013000000000000001,0.025,0.3,0.004,33.0,11.0
10786,20171004,송파구,0.01,0.027999999999999997,0.3,0.003,20.0,8.0
10825,20171005,송파구,0.013000000000000001,0.023,0.3,0.004,15.0,7.0
10864,20171006,송파구,0.011000000000000001,0.026000000000000002,0.3,0.003,10.0,6.0
10903,20171007,송파구,0.015,0.021,0.3,0.004,9.0,5.0
10942,20171008,송파구,0.02,0.023,0.5,0.004,18.0,12.0
10981,20171009,송파구,0.027000000000000003,0.025,0.6,0.005,25.0,17.0
11020,20171010,송파구,0.028999999999999998,0.011000000000000001,0.6,0.005,27.0,16.0
11059,20171011,송파구,0.013999999999999999,0.021,0.4,0.004,9.0,6.0
11098,20171012,송파구,0.024,0.011000000000000001,0.4,0.003,19.0,9.0
